"-- Choose --","-- Choose --"
"Account Reference Product Attribute","Account Reference Product Attribute"
"Acre","Acre"
"Add Mapping","Add Mapping"
"Add the Order Number to the Invoice Header.","Add the Order Number to the Invoice Header."
"After how many line items do you want to insert a pagebreak? Enter 0 for no breaks.","After how many line items do you want to insert a pagebreak? Enter 0 for no breaks."
"All other countries","All other countries"
"Always use default","Always use default"
"Am.Gallon","Am.Gallon"
"Appmerce","Appmerce"
"Are","Are"
"Arroba","Arroba"
"Automatic and manual","Automatic and manual"
"Bit","Bit"
"Booking Mode","Booking Mode"
"Bottom Text","Bottom Text"
"Bottom text for the invoice (single line).","Bottom text for the invoice (single line)."
"Br. Gallon","Br. Gallon"
"Candy","Candy"
"Centimeter","Centimeter"
"Choose the country where your business is registered.","Choose the country where your business is registered."
"Choose the Line Item Vat Code for customers outside the European Union.","Choose the Line Item Vat Code for customers outside the European Union."
"Crore","Crore"
"Cubic foot","Cubic foot"
"Cubic inch","Cubic inch"
"Dag","Dag"
"Dan (Picul)","Dan (Picul)"
"Debug Mode","Debug Mode"
"Debug mode will store the request and result XML data in a database table called 'reeleezee_api_debug'. Useful for developers.","Debug mode will store the request and result XML data in a database table called 'reeleezee_api_debug'. Useful for developers."
"Default Account Reference","Default Account Reference"
"Default Due Days","Default Due Days"
"Default Line Item Vat Code","Default Line Item Vat Code"
"Default Product Vat Group","Default Product Vat Group"
"Default Unit Code","Default Unit Code"
"Default vat code for line items.","Default vat code for line items."
"Default vat group for line items.","Default vat group for line items."
"Document","Document"
"Dozijn","Dozijn"
"EU + Ex-EU, Diensten Hoog Tarief (t/m 2009)","EU + Ex-EU, Diensten Hoog Tarief (t/m 2009)"
"EU + Ex-EU, Diensten Laag tarief (t/m 2009)","EU + Ex-EU, Diensten Laag tarief (t/m 2009)"
"Eu, Diensten Hoog tarief (vanaf 2010)","Eu, Diensten Hoog tarief (vanaf 2010)"
"EU, Diensten Laag tarief (vanaf 2010)","EU, Diensten Laag tarief (vanaf 2010)"
"EU, Producten Hoog tarief","EU, Producten Hoog tarief"
"EU, Producten Laag tarief","EU, Producten Laag tarief"
"Exception: Reeleezee import failed. You need to enter this invoice manually in your Reeleezee administration.","Exception: Reeleezee import failed. You need to enter this invoice manually in your Reeleezee administration."
"Ex Eu, Diensten Hoog tarief (vanaf 2010)","Ex Eu, Diensten Hoog tarief (vanaf 2010)"
"Ex EU, Diensten Laag tarief (vanaf 2010)","Ex EU, Diensten Laag tarief (vanaf 2010)"
"Ex Eu, Producten Hoog tarief","Ex Eu, Producten Hoog tarief"
"Ex EU, Producten Laag tarief","Ex EU, Producten Laag tarief"
"Failure: Reeleezee import failed. You need to enter this invoice manually in your Reeleezee administration.","Failure: Reeleezee import failed. You need to enter this invoice manually in your Reeleezee administration."
"Foot","Foot"
"Geen BTW (Vrijgesteld)","Geen BTW (Vrijgesteld)"
"Gigabyte","Gigabyte"
"Graad Celcius","Graad Celcius"
"Graad Fahrenheit","Graad Fahrenheit"
"Graad Kelvin","Graad Kelvin"
"Gram","Gram"
"Gros","Gros"
"Header Text","Header Text"
"Header text for the invoice.","Header text for the invoice."
"Hectare","Hectare"
"Hoog tarief, Diensten","Hoog tarief, Diensten"
"Hoog tarief, Produkten","Hoog tarief, Produkten"
"If you have an account reference attribute, otherwise leave to Always use default.","If you have an account reference attribute, otherwise leave to Always use default."
"Import Invoice #%s for Order #%s","Import Invoice #%s for Order #%s"
"Import invoices automatically during invoice creation, or set to Manual only.","Import invoices automatically during invoice creation, or set to Manual only."
"Import Mode","Import Mode"
"Inch","Inch"
"Invoice","Invoice"
"Invoice Concept","Invoice Concept"
"Jaar","Jaar"
"Jin (Catty)","Jin (Catty)"
"Kilo","Kilo"
"Kilobyte","Kilobyte"
"Kilometer","Kilometer"
"Kub centimeter","Kub centimeter"
"Laag tarief, Diensten","Laag tarief, Diensten"
"Laag tarief, Produkten","Laag tarief, Produkten"
"Lakh","Lakh"
"Line Item Vat Code Mapping","Line Item Vat Code Mapping"
"Liter","Liter"
"Long ton","Long ton"
"Maand","Maand"
"Magento - %s - %s - %s","Magento - %s - %s - %s"
"Magento Invoice Number","Magento Invoice Number"
"Manual only","Manual only"
"Manzana","Manzana"
"Map the Magento product tax classes and customer groups with Reeleezee.","Map the Magento product tax classes and customer groups with Reeleezee."
"Map the Magento product tax classes with Reeleezee.","Map the Magento product tax classes with Reeleezee."
"Megabyte","Megabyte"
"Merchant Country","Merchant Country"
"Meter","Meter"
"Meter 3","Meter 3"
"Meter ²","Meter ²"
"Mijl","Mijl"
"Milligram","Milligram"
"Milliseconde","Milliseconde"
